Float_ID,Profile,Date,Latitude,Longitude,Pres_raw(dbar),Pres_adj(dbar),Pres_raw_qc,Pres_adj_qc,Temp_raw(C),Temp_adj(C),Temp_raw_qc,Temp_adj_qc,Psal_raw(psu),Psal_adj(psu),Psal_raw_qc,Psal_adj_qc
2900537,1,2005-06-03 09:13:37.000000000,2.033,83.078,4.8,4.2,1,1,29.194,29.194,1,1,34.575,34.57524,1,1
2900537,1,2005-06-03 09:13:37.000000000,2.033,83.078,9.5,8.9,1,1,29.194,29.194,1,1,34.576,34.57635,1,1
2900537,1,2005-06-03 09:13:37.000000000,2.033,83.078,19.0,18.4,1,1,29.151,29.151,1,1,34.587,34.5872,1,1
2900537,1,2005-06-03 09:13:37.000000000,2.033,83.078,29.1,28.5,1,1,29.167,29.167,1,1,34.608,34.60822,1,1
2900537,1,2005-06-03 09:13:37.000000000,2.033,83.078,39.6,39.0,1,1,29.153,29.153,1,1,34.606,34.60675,1,1
2900537,1,2005-06-03 09:13:37.000000000,2.033,83.078,49.7,49.1,1,1,29.039,29.039,1,1,34.693,34.69812,1,1
2900537,1,2005-06-03 09:13:37.000000000,2.033,83.078,59.5,58.9,1,1,27.657,27.657,1,1,35.229,35.23164,1,1
2900537,1,2005-06-03 09:13:37.000000000,2.033,83.078,69.5,68.9,1,1,26.445,26.445,1,1,35.254,35.2583,1,1
2900537,1,2005-06-03 09:13:37.000000000,2.033,83.078,79.2,78.6,1,1,25.125,25.125,1,1,35.263,35.26658,1,1
2900537,1,2005-06-03 09:13:37.000000000,2.033,83.078,89.7,89.1,1,1,24.003,24.003,1,1,35.295,35.29854,1,1
2900537,1,2005-06-03 09:13:37.000000000,2.033,83.078,99.7,99.1,1,1,22.942,22.942,1,1,35.299,35.30472,1,1
2900537,1,2005-06-03 09:13:37.000000000,2.033,83.078,109.4,108.8,1,1,21.263,21.263,1,1,35.289,35.29358,1,1
2900537,1,2005-06-03 09:13:37.000000000,2.033,83.078,119.3,118.7,1,1,19.952,19.952,1,1,35.207,35.21406,1,1
2900537,1,2005-06-03 09:13:37.000000000,2.033,83.078,128.9,128.3,1,1,17.975,17.975,1,1,35.139,35.14384,1,1
2900537,1,2005-06-03 09:13:37.000000000,2.033,83.078,138.9,138.3,1,1,16.674,16.674,1,1,35.132,35.13249,1,1
2900537,1,2005-06-03 09:13:37.000000000,2.033,83.078,148.9,148.3,1,1,16.632,16.632,1,1,35.16,35.16142,1,1
2900537,1,2005-06-03 09:13:37.000000000,2.033,83.078,159.2,158.6,1,1,16.278,16.278,1,1,35.166,35.16876,1,1
2900537,1,2005-06-03 09:13:37.000000000,2.033,83.078,169.6,169.0,1,1,15.52,15.52,1,1,35.163,35.16442,1,1
2900537,1,2005-06-03 09:13:37.000000000,2.033,83.078,179.3,178.7,1,1,15.199,15.199,1,1,35.161,35.16216,1,1
2900537,1,2005-06-03 09:13:37.000000000,2.033,83.078,189.1,188.5,1,1,14.934,14.934,1,1,35.128,35.13114,1,1
2900537,1,2005-06-03 09:13:37.000000000,2.033,83.078,199.6,199.0,1,1,14.092,14.092,1,1,35.117,35.11837,1,1
2900537,1,2005-06-03 09:13:37.000000000,2.033,83.078,209.5,208.9,1,1,13.784,13.784,1,1,35.089,35.09142,1,1
2900537,1,2005-06-03 09:13:37.000000000,2.033,83.078,219.1,218.5,1,1,13.223,13.223,1,1,35.099,35.09943,1,1
2900537,1,2005-06-03 09:13:37.000000000,2.033,83.078,229.0,228.4,1,1,13.18,13.18,1,1,35.109,35.11021,1,1
2900537,1,2005-06-03 09:13:37.000000000,2.033,83.078,238.9,238.3,1,1,12.92,12.92,1,1,35.109,35.11057,1,1
2900537,1,2005-06-03 09:13:37.000000000,2.033,83.078,249.4,248.8,1,1,12.543,12.543,1,1,35.1,35.10064,1,1
2900537,1,2005-06-03 09:13:37.000000000,2.033,83.078,259.3,258.7,1,1,12.446,12.446,1,1,35.095,35.09583,1,1
2900537,1,2005-06-03 09:13:37.000000000,2.033,83.078,269.4,268.8,1,1,12.292,12.292,1,1,35.094,35.09452,1,1
2900537,1,2005-06-03 09:13:37.000000000,2.033,83.078,279.6,279.0,1,1,12.226,12.226,1,1,35.102,35.10261,1,1
2900537,1,2005-06-03 09:13:37.000000000,2.033,83.078,289.2,288.6,1,1,12.134,12.134,1,1,35.1,35.10053,1,1
2900537,1,2005-06-03 09:13:37.000000000,2.033,83.078,299.4,298.8,1,1,12.059,12.059,1,1,35.095,35.09567,1,1
2900537,1,2005-06-03 09:13:37.000000000,2.033,83.078,309.1,308.5,1,1,11.952,11.952,1,1,35.093,35.09359,1,1
2900537,1,2005-06-03 09:13:37.000000000,2.033,83.078,319.3,318.7,1,1,11.861,11.861,1,1,35.089,35.0897,1,1
2900537,1,2005-06-03 09:13:37.000000000,2.033,83.078,329.1,328.5,1,1,11.744,11.744,1,1,35.085,35.08537,1,1
2900537,1,2005-06-03 09:13:37.000000000,2.033,83.078,339.4,338.8,1,1,11.717,11.717,1,1,35.082,35.08258,1,1
2900537,1,2005-06-03 09:13:37.000000000,2.033,83.078,349.3,348.7,1,1,11.631,11.631,1,1,35.079,35.07974,1,1
2900537,1,2005-06-03 09:13:37.000000000,2.033,83.078,359.3,358.7,1,1,11.502,11.502,1,1,35.073,35.07364,1,1
2900537,1,2005-06-03 09:13:37.000000000,2.033,83.078,379.2,378.6,1,1,11.306,11.306,1,1,35.06,35.06051,1,1
2900537,1,2005-06-03 09:13:37.000000000,2.033,83.078,399.2,398.6,1,1,11.179,11.179,1,1,35.057,35.05756,1,1
